1-Jul,Canada Day with Anita Hamilton The Eh Team and Serious Dogs,Various Performances
2-Jul,West Coast Slackers,Country Rock
3-Jul,Soul Patch,Funky World Music
4-Jul,Beyond Brass,Big Band Bliss
5-Jul,Totally Twain,Shania Twain Tribute
6-Jul,Angie Heinze Band,Pop Rock
7-Jul,Blue Voodoo,Rock
8-Jul,BC Top,ZZ Top Tribute
9-Jul,The Yale County Band,Jug Music
10-Jul,GIVE 'EM HELL BOYS,Country/Rock
11-Jul,Banditos,Mexican Rock
12-Jul,Zuffalo,Funky Big Band
13-Jul,Celeigh Cardinal,Soul Pop
14-Jul,The Kings of Nashville,Country Rock
15-Jul,David James & Big River,Johnny Cash Tribute
16-Jul,Bend Sinister,Pop Rock
17-Jul,FKB,Rock
18-Jul,Creedence Clearwater Reprisal    ,CCR Tribute
19-Jul,BCLC Midsummer Music Jam,Various Performances
20-Jul,Sherman Doucette,Blues Harmonica
21-Jul,Where We Wander,Rock
22-Jul,One Fifty One,Rock Cover Band
23-Jul,Wildcatz,Classic Rock
24-Jul,Gabriel Polatchi,Jazz Pianist
25-Jul,Mazazul,Mexican Jazzy Soft Rock
26-Jul,Mary Jane's Last Dance,Tom Petty Tribute
27-Jul,Tanner Dawson,Bluesy Country
28-Jul,Taylor-Rae,Country
29-Jul,Cache Creek,Southern Rock
30-Jul,Rhindress,Country Rock Blues
31-Jul,Mother Son,Jazzy Pop Rock
1-Aug,Southern Belles,Country Classics
2-Aug,Cod Gone Wild,Modern Celtic
3-Aug,The Decoys    ,Rock 
4-Aug,Caleb Hart,Island Soul
5-Aug,Evereal,Rock
6-Aug,Daytime Highs,Funkadelic Trancedance
7-Aug,Last Child,Classic Rock
8-Aug,Peach Panic,East Coast Delight
9-Aug,Richard Graham,Roots & Blues
10-Aug,Paisley Groove,Groove
11-Aug,RibFest Presents: Rock Legends,Bob Seger Tribute
12-Aug,RibFest Presents: Eagle Eyes,Eagles Tribute
13-Aug,RibFest Presents: Punch Drunk Cabaret,Rockabilly
14-Aug,Joni Miller Band,Soul Blues & Rock 'n Roll
15-Aug,Road Waves,Rock Funk & Soul
16-Aug,Jackson Hollow,Bluegrass
17-Aug,Oral Fuentes,Latin Music
18-Aug,Trigger Mafia,Rock
19-Aug,Out of Many,Caribbean Music
20-Aug,Mostly Marley,Bob Marley Tribute
21-Aug,Black Daze,Ozzy Tribute
22-Aug,Anna K,Indie Pop
23-Aug,Mike McKenzie Band,Rock
24-Aug,Led Zeppelin Tribute,Music of Led Zeppelin
25-Aug,Alive and Kissin',Alive and Kissin'
26-Aug,Malice In Chains,Alice in Chains Tribute
27-Aug,Spendo,Rock 'n Roll
28-Aug,Maritime Kitchen Party,East Coast Party Music
29-Aug,Forum,Country Rock Alternative
30-Aug,Rawn Side of Town,Bluesy Rock
31-Aug,Shattered Blue,Rock Classics
